,Time,Treatment,Treat,Feedback
193,3,MN,MN3,-0.416823
195,3,MN,MN3,-0.412707768
244,3,MN,MN3,-0.410122778
194,3,MN,MN3,-0.383416971
220,3,MN,MN3,-0.347687307
198,3,MN,MN3,-0.346656075
247,3,MN,MN3,-0.342854388
197,3,MN,MN3,-0.333352109
252,3,MN,MN3,-0.321711821
248,3,MN,MN3,-0.314626708
241,3,MN,MN3,-0.310528341
243,3,MN,MN3,-0.306413109
204,3,MN,MN3,-0.293897133
223,3,MN,MN3,-0.280418917
242,3,MN,MN3,-0.277122312
255,3,MN,MN3,-0.254443431
224,3,MN,MN3,-0.252191237
217,3,MN,MN3,-0.24809287
219,3,MN,MN3,-0.243977638
246,3,MN,MN3,-0.240361416
245,3,MN,MN3,-0.227057451
207,3,MN,MN3,-0.226628743
256,3,MN,MN3,-0.22621575
249,3,MN,MN3,-0.222117384
251,3,MN,MN3,-0.218002152
218,3,MN,MN3,-0.214686841
208,3,MN,MN3,-0.198401062
201,3,MN,MN3,-0.194302696
203,3,MN,MN3,-0.190187464
250,3,MN,MN3,-0.188711355
228,3,MN,MN3,-0.180835672
222,3,MN,MN3,-0.177925945
236,3,MN,MN3,-0.169761362
221,3,MN,MN3,-0.16462198
202,3,MN,MN3,-0.160896667
212,3,MN,MN3,-0.15880835
254,3,MN,MN3,-0.151950459
253,3,MN,MN3,-0.138646493
206,3,MN,MN3,-0.124135771
231,3,MN,MN3,-0.113567282
205,3,MN,MN3,-0.110831805
239,3,MN,MN3,-0.102492972
215,3,MN,MN3,-0.09153996
232,3,MN,MN3,-0.085339602
225,3,MN,MN3,-0.081241235
227,3,MN,MN3,-0.077126003
240,3,MN,MN3,-0.074265291
233,3,MN,MN3,-0.070166925
235,3,MN,MN3,-0.066051693
216,3,MN,MN3,-0.063312279
209,3,MN,MN3,-0.059213913
211,3,MN,MN3,-0.055098681
226,3,MN,MN3,-0.047835206
234,3,MN,MN3,-0.036760896
210,3,MN,MN3,-0.025807884
230,3,MN,MN3,-0.01107431
238,3,MN,MN3,0
229,3,MN,MN3,0.002229655
214,3,MN,MN3,0.010953012
237,3,MN,MN3,0.013303966
213,3,MN,MN3,0.024256978
257,3,MB,MB3,-0.139585902
258,3,MB,MB3,-0.201038681
259,3,MB,MB3,-0.201038681
260,3,MB,MB3,-0.10373977
261,3,MB,MB3,-0.070341489
262,3,MB,MB3,-0.07973123
263,3,MB,MB3,-0.012072581
264,3,MB,MB3,-0.035789108
265,3,MB,MB3,-0.141612245
266,3,MB,MB3,-0.203065024
267,3,MB,MB3,-0.203065024
268,3,MB,MB3,-0.105766113
269,3,MB,MB3,-0.072367833
270,3,MB,MB3,-0.081757573
271,3,MB,MB3,-0.014098924
272,3,MB,MB3,-0.037815451
273,3,MB,MB3,-0.147716028
274,3,MB,MB3,-0.209168807
275,3,MB,MB3,-0.209168807
276,3,MB,MB3,-0.111869896
277,3,MB,MB3,-0.078471615
278,3,MB,MB3,-0.087861356
279,3,MB,MB3,-0.020202707
280,3,MB,MB3,-0.043919234
281,3,MB,MB3,-0.219628609
282,3,MB,MB3,-0.281081388
283,3,MB,MB3,-0.281081388
